qid1,qid2,pred1,pred2,gt1,gt2,q1score,q2score
1,2,img1,img1,img1,img2,0.68755746,0.6458388
3,4,img2,img2,img1,img2,0.41353497,0.17618383
5,6,img2,img1,img1,img2,0.2909203,0.54834145
7,8,img2,img2,img1,img2,0.1789343,0.1763342
9,10,img1,img2,img1,img2,0.62842965,0.42849493
11,12,img1,img1,img1,img2,0.79777044,0.7831996
13,14,img2,img1,img1,img2,0.40318954,0.5140849
15,16,img1,img2,img1,img2,0.5926956,0.4133819
17,18,img1,img1,img1,img2,0.6944621,0.7331743
19,20,img1,img2,img1,img2,0.7671901,0.43441725
21,22,img1,img1,img1,img2,0.87821025,0.8676614
23,24,img2,img2,img1,img2,0.41205046,0.4124354
25,26,img1,img1,img1,img2,0.6327723,0.7051474
27,28,img1,img2,img1,img2,0.7749103,0.49174714
29,30,img2,img2,img1,img2,0.12265595,0.09038267
31,32,img1,img1,img1,img2,0.72195417,0.58382076
33,34,img1,img1,img1,img2,0.84209067,0.5012827
35,36,img1,img1,img1,img2,0.8744167,0.87486535
37,38,img1,img1,img1,img2,0.9462702,0.5622244
39,40,img1,img2,img1,img2,0.8836633,0.23277956
41,42,img1,img1,img1,img2,0.9343128,0.7350225
43,44,img1,img1,img1,img2,0.87622267,0.8513033
45,46,img2,img2,img1,img2,0.077344075,0.0569714
47,48,img2,img2,img1,img2,0.23557863,0.09185388
49,50,img1,img1,img1,img2,0.87958026,0.7305719
51,52,img2,img2,img1,img2,0.18791963,0.22113329
53,54,img2,img2,img1,img2,0.27770898,0.2560497
55,56,img1,img1,img1,img2,0.92082644,0.7605565
57,58,img1,img2,img1,img2,0.5998789,0.49506968
59,60,img2,img2,img1,img2,0.45711306,0.32200316
61,62,img2,img2,img1,img2,0.31945923,0.41197094
63,64,img2,img2,img1,img2,0.3347232,0.14109363
65,66,img1,img1,img1,img2,0.9983912,0.62586963
67,68,img1,img2,img1,img2,0.6112936,0.45481312
69,70,img1,img2,img1,img2,0.567348,0.23010746
71,72,img1,img2,img1,img2,0.58515483,0.055267617
73,74,img1,img2,img1,img2,0.8949926,0.48011637
75,76,img2,img2,img1,img2,0.48041582,0.05381994
77,78,img2,img2,img1,img2,0.111070275,0.17806196
79,80,img1,img1,img1,img2,0.90760595,0.7363106
81,82,img1,img1,img1,img2,0.9659539,0.9780953
83,84,img1,img1,img1,img2,0.73024195,0.75137573
85,86,img1,img1,img1,img2,0.89032763,0.8841341
87,88,img2,img2,img1,img2,0.38763148,0.35723504
89,90,img1,img1,img1,img2,0.855226,0.5358656
91,92,img1,img1,img1,img2,0.7292973,0.8941576
93,94,img1,img1,img1,img2,0.9376502,0.91138893
95,96,img1,img1,img1,img2,0.74238557,0.60872036
97,98,img1,img1,img1,img2,0.84003305,0.7648086
99,100,img2,img2,img1,img2,0.42488918,0.22907983
101,102,img1,img1,img1,img2,0.82371986,0.6740312
103,104,img1,img2,img1,img2,0.5323895,0.21353601
105,106,img1,img1,img1,img2,0.82851946,0.8053621
107,108,img1,img1,img1,img2,0.59810036,0.5950914
109,110,img1,img1,img1,img2,0.9083572,0.9314867
111,112,img1,img1,img1,img2,0.914765,0.9227067
113,114,img2,img2,img1,img2,0.2779451,0.13614272
115,116,img2,img2,img1,img2,0.4713033,0.45205587
117,118,img1,img1,img1,img2,0.5615999,0.6628694
119,120,img1,img1,img1,img2,0.6868769,0.6666032
121,122,img2,img2,img1,img2,0.2264213,0.27041966
123,124,img2,img2,img1,img2,0.3840757,0.30177668
125,126,img2,img2,img1,img2,0.14553858,0.071885936
127,128,img1,img1,img1,img2,0.8629815,0.8382109
129,130,img2,img2,img1,img2,0.48329693,0.07973932
131,132,img2,img2,img1,img2,0.19827603,0.12180729
133,134,img1,img1,img1,img2,0.57075757,0.7779216
135,136,img2,img2,img1,img2,0.32104495,0.30091366
137,138,img2,img2,img1,img2,0.48664507,0.4579259
139,140,img2,img2,img1,img2,0.107028276,0.09233662
141,142,img1,img1,img1,img2,0.8672219,0.8298839
143,144,img2,img2,img1,img2,0.29235968,0.3867015
145,146,img1,img1,img1,img2,0.5718997,0.55309564
147,148,img1,img1,img1,img2,0.5480145,0.5863619
149,150,img1,img2,img1,img2,0.5065199,0.37312245
151,152,img1,img1,img1,img2,0.6029514,0.5823222
153,154,img1,img2,img1,img2,0.528877,0.07654994
155,156,img1,img2,img1,img2,0.60076946,0.056509785
157,158,img2,img2,img1,img2,0.09756525,0.018166961
159,160,img1,img1,img1,img2,0.9150476,0.8627331
161,162,img2,img2,img1,img2,0.18494283,0.11397481
163,164,img2,img2,img1,img2,0.39825973,0.11375504
165,166,img1,img2,img1,img2,0.6076168,0.04039506
167,168,img1,img2,img1,img2,0.9968485,0.4649201
169,170,img2,img1,img1,img2,0.4238711,0.51482147
171,172,img1,img1,img1,img2,0.91985947,0.88615066
173,174,img1,img2,img1,img2,0.56679046,0.17653266
175,176,img2,img2,img1,img2,0.28582028,0.07159925
177,178,img2,img2,img1,img2,0.34128958,0.22075985
179,180,img1,img2,img1,img2,0.9418681,0.08009358
181,182,img1,img2,img1,img2,0.9127558,0.39512143
183,184,img2,img2,img1,img2,0.26186404,0.0888297
185,186,img1,img1,img1,img2,0.9857012,0.6982664
187,188,img1,img1,img1,img2,0.62250775,0.63110286
189,190,img1,img2,img1,img2,0.87470335,0.40002084
191,192,img2,img2,img1,img2,0.4194812,0.10009264
193,194,img1,img1,img1,img2,0.663108,0.5962229
195,196,img1,img1,img1,img2,0.8127141,0.8288089
197,198,img1,img1,img1,img2,0.96202886,0.82629883
199,200,img1,img2,img1,img2,0.56455475,0.30248523
201,202,img1,img2,img1,img2,0.56873536,0.33480263
203,204,img2,img2,img1,img2,0.20666566,0.11528512
205,206,img2,img2,img1,img2,0.48102623,0.25811446
207,208,img1,img1,img1,img2,0.52730036,0.5754524
209,210,img2,img2,img1,img2,0.3755906,0.035455775
211,212,img1,img1,img1,img2,0.69630855,0.6632631
213,214,img1,img1,img1,img2,0.9366352,0.82640475
215,216,img2,img2,img1,img2,0.1376711,0.07096852
217,218,img1,img2,img1,img2,0.5926758,0.31873816
219,220,img1,img1,img1,img2,0.81559044,0.8159288
221,222,img2,img2,img1,img2,0.19770089,0.113667764
223,224,img2,img2,img1,img2,0.3260396,0.2430654
225,226,img1,img2,img1,img2,0.5540831,0.4733282
227,228,img1,img1,img1,img2,0.63175184,0.51474905
229,230,img1,img1,img1,img2,0.7243412,0.710622
231,232,img1,img1,img1,img2,0.9992798,0.9982716
233,234,img2,img2,img1,img2,0.41959643,0.43859404
235,236,img1,img1,img1,img2,0.69840336,0.65292597
237,238,img2,img2,img1,img2,0.021324497,0.002122326
239,240,img1,img1,img1,img2,0.9569662,0.9687339
241,242,img1,img2,img1,img2,0.6007553,0.30239913
243,244,img1,img1,img1,img2,0.86536753,0.90021473
245,246,img2,img1,img1,img2,0.35124758,0.51881474
247,248,img1,img1,img1,img2,0.65887165,0.7279938
249,250,img1,img1,img1,img2,0.666974,0.62096244
251,252,img1,img1,img1,img2,0.64465904,0.53471786
253,254,img2,img2,img1,img2,0.04339232,0.009611114
255,256,img1,img1,img1,img2,0.79522264,0.50148106
257,258,img2,img2,img1,img2,0.49565706,0.38630345
259,260,img1,img2,img1,img2,0.84008604,0.31576112
261,262,img2,img2,img1,img2,0.027172282,0.051846683
263,264,img1,img2,img1,img2,0.76705384,0.4124622
265,266,img1,img1,img1,img2,0.7775177,0.866843
267,268,img2,img2,img1,img2,0.4316698,0.41357198
269,270,img1,img1,img1,img2,0.8984957,0.87849736
